"Species","code","Impact_year","Type_of_cost_merged","Management_type","Geographic_region","Genus","Cost.USD","eventDate","First_invacost","First_manage","First_manage_invacost"
"Acacia mearnsii","ZAF",1995,"Management_costs","Post-invasion_management","Africa","Acacia",7398034.35374238,1858,1995,1995,1995
"Acacia mearnsii","ZAF",2008,"Management_costs","Post-invasion_management","Africa","Acacia",7398034.35374238,1858,1995,1995,1995
"Acacia mearnsii","ZAF",2007,"Management_costs","Post-invasion_management","Africa","Acacia",7398034.35374238,1858,1995,1995,1995
"Acacia mearnsii","ZAF",2004,"Management_costs","Post-invasion_management","Africa","Acacia",7398034.35374238,1858,1995,1995,1995
"Acacia mearnsii","ZAF",1997,"Management_costs","Post-invasion_management","Africa","Acacia",7398034.35374238,1858,1995,1995,1995
"Acacia mearnsii","ZAF",2003,"Management_costs","Post-invasion_management","Africa","Acacia",7398034.35374238,1858,1995,1995,1995
"Acacia mearnsii","ZAF",1998,"Management_costs","Post-invasion_management","Africa","Acacia",7398034.35374238,1858,1995,1995,1995
"Acacia melanoxylon","ESP",2015,"Management_costs","Post-invasion_management","Europe","Acacia",234.996188080885,NA,2012,1999,1995
"Acacia melanoxylon","ESP",2017,"Management_costs","Post-invasion_management","Europe","Acacia",144.599190588236,NA,2012,1999,1995
"Acacia melanoxylon","ESP",2012,"Management_costs","Post-invasion_management","Europe","Acacia",670.691286679717,NA,2012,1999,1995
"Acacia melanoxylon","ESP",2014,"Management_costs","Post-invasion_management","Europe","Acacia",1690.27129642183,NA,2012,1999,1995
"Acacia melanoxylon","ESP",2016,"Management_costs","Post-invasion_management","Europe","Acacia",289.403229895144,NA,2012,1999,1995
"Acacia melanoxylon","ESP",2013,"Management_costs","Post-invasion_management","Europe","Acacia",447.186560864298,NA,2012,1999,1995
"Acacia melanoxylon","ZAF",2004,"Management_costs","Post-invasion_management","Africa","Acacia",366577.842335473,1848,1995,1995,1995
"Acacia melanoxylon","ZAF",2000,"Management_costs","Post-invasion_management","Africa","Acacia",366577.842335473,1848,1995,1995,1995
"Acacia melanoxylon","ZAF",1995,"Management_costs","Post-invasion_management","Africa","Acacia",366577.842335473,1848,1995,1995,1995
"Acacia melanoxylon","ZAF",1997,"Management_costs","Post-invasion_management","Africa","Acacia",366577.842335473,1848,1995,1995,1995
"Acacia melanoxylon","ZAF",2009,"Management_costs","Post-invasion_management","Africa","Acacia",90955.4044892528,1848,1995,1995,1995
"Acacia melanoxylon","ZAF",2001,"Management_costs","Post-invasion_management","Africa","Acacia",366577.842335473,1848,1995,1995,1995
"Acacia melanoxylon","ZAF",1996,"Management_costs","Post-invasion_management","Africa","Acacia",366577.842335473,1848,1995,1995,1995
"Acacia melanoxylon","ZAF",1998,"Management_costs","Post-invasion_management","Africa","Acacia",366577.842335473,1848,1995,1995,1995
"Acacia melanoxylon","ZAF",1999,"Management_costs","Post-invasion_management","Africa","Acacia",366577.842335473,1848,1995,1995,1995
"Acacia melanoxylon","ZAF",2002,"Management_costs","Post-invasion_management","Africa","Acacia",366577.842335473,1848,1995,1995,1995
"Acacia melanoxylon","ZAF",2008,"Management_costs","Post-invasion_management","Africa","Acacia",366577.842335473,1848,1995,1995,1995
"Acacia melanoxylon","ZAF",2003,"Management_costs","Post-invasion_management","Africa","Acacia",366577.842335473,1848,1995,1995,1995
"Acacia melanoxylon","ZAF",2007,"Management_costs","Post-invasion_management","Africa","Acacia",366577.842335473,1848,1995,1995,1995
"Acacia melanoxylon","ZAF",2005,"Management_costs","Post-invasion_management","Africa","Acacia",366577.842335473,1848,1995,1995,1995
"Acacia melanoxylon","ZAF",2006,"Management_costs","Post-invasion_management","Africa","Acacia",366577.842335473,1848,1995,1995,1995
"Acacia saligna","ESP",2014,"Management_costs","Post-invasion_management","Europe","Acacia",2641.04890065911,NA,2014,1999,1995
"Acacia saligna","ZAF",2003,"Management_costs","Post-invasion_management","Africa","Acacia",1731040.15845419,1833,1995,1995,1995
"Acacia saligna","ZAF",2013,"Management_costs","Post-invasion_management","Africa","Acacia",1555.79169864712,1833,1995,1995,1995
"Acacia saligna","ZAF",2004,"Management_costs","Post-invasion_management","Africa","Acacia",1731040.15845419,1833,1995,1995,1995
"Acacia saligna","ZAF",2005,"Management_costs","Post-invasion_management","Africa","Acacia",1731040.15845419,1833,1995,1995,1995
"Acacia saligna","ZAF",1998,"Management_costs","Post-invasion_management","Africa","Acacia",1731040.15845419,1833,1995,1995,1995
"Acacia saligna","ZAF",2009,"Management_costs","Post-invasion_management","Africa","Acacia",860860.747539696,1833,1995,1995,1995
"Acacia saligna","ZAF",2000,"Management_costs","Post-invasion_management","Africa","Acacia",1731040.15845419,1833,1995,1995,1995
"Acacia saligna","ZAF",1999,"Management_costs","Post-invasion_management","Africa","Acacia",1731040.15845419,1833,1995,1995,1995
"Acacia saligna","ZAF",2007,"Management_costs","Post-invasion_management","Africa","Acacia",1731040.15845419,1833,1995,1995,1995
"Acacia saligna","ZAF",1997,"Management_costs","Post-invasion_management","Africa","Acacia",1731040.15845419,1833,1995,1995,1995
"Acacia saligna","ZAF",2008,"Management_costs","Post-invasion_management","Africa","Acacia",1731040.15845419,1833,1995,1995,1995
"Acacia saligna","ZAF",1996,"Management_costs","Post-invasion_management","Africa","Acacia",1731040.15845419,1833,1995,1995,1995
"Acacia saligna","ZAF",2002,"Management_costs","Post-invasion_management","Africa","Acacia",1731040.15845419,1833,1995,1995,1995
"Acacia saligna","ZAF",1995,"Management_costs","Post-invasion_management","Africa","Acacia",1731040.15845419,1833,1995,1995,1995
"Acacia saligna","ZAF",2006,"Management_costs","Post-invasion_management","Africa","Acacia",1731040.15845419,1833,1995,1995,1995
"Acacia saligna","ZAF",2001,"Management_costs","Post-invasion_management","Africa","Acacia",1731040.15845419,1833,1995,1995,1995
"Aedes aegypti","ARG",2007,"Management_costs","Post-invasion_management","South America","Aedes",491024.725941941,1980,2007,1995,1977
"Aedes aegypti","ARG",2016,"Management_costs","Post-invasion_management","South America","Aedes",13204875,1980,2007,1995,1977
"Aedes aegypti","BLZ",1995,"Management_costs","Post-invasion_management","Central America","Aedes",144771.49185169,NA,1995,1995,1977
"Aedes aegypti","BOL",1995,"Management_costs","Post-invasion_management","South America","Aedes",402143.032921362,NA,1995,1995,1977
"Aedes aegypti","BRA",2017,"Management_costs","Post-invasion_management","South America","Aedes",479050968.696259,1996,2000,1984,1977
"Aedes aegypti","BRA",2013,"Management_costs","Post-invasion_management","South America","Aedes",397314189.129973,1996,2000,1984,1977
"Aedes aegypti","BRA",2016,"Management_costs","Post-invasion_management","South America","Aedes",48747441.0757196,1996,2000,1984,1977
"Aedes aegypti","BRA",2015,"Management_costs","Post-invasion_management","South America","Aedes",48747441.0757196,1996,2000,1984,1977
"Aedes aegypti","COL",2018,"Management_costs","Post-invasion_management","South America","Aedes",249796.972154651,NA,2007,1995,1977
"Aedes aegypti","COL",2010,"Management_costs","Post-invasion_management","South America","Aedes",265749.741435762,NA,2007,1995,1977
"Aedes aegypti","COL",2008,"Management_costs","Post-invasion_management","South America","Aedes",265749.741435762,NA,2007,1995,1977
"Aedes aegypti","COL",2016,"Management_costs","Post-invasion_management","South America","Aedes",249796.972154651,NA,2007,1995,1977
"Aedes aegypti","COL",2007,"Management_costs","Post-invasion_management","South America","Aedes",265749.741435762,NA,2007,1995,1977
"Aedes aegypti","COL",2013,"Management_costs","Post-invasion_management","South America","Aedes",122163528.945074,NA,2007,1995,1977
"Aedes aegypti","COL",2011,"Management_costs","Post-invasion_management","South America","Aedes",265749.741435762,NA,2007,1995,1977
"Aedes aegypti","COL",2009,"Management_costs","Post-invasion_management","South America","Aedes",265749.741435762,NA,2007,1995,1977
"Aedes aegypti","CUB",2002,"Management_costs","Post-invasion_management","Central America","Aedes",15654780.3818986,NA,1981,1981,1977
"Aedes aegypti","CUB",1981,"Management_costs","Post-invasion_management","Central America","Aedes",115921276.693246,NA,1981,1981,1977
"Aedes aegypti","ECU",2016,"Management_costs","Post-invasion_management","South America","Aedes",95000,NA,1995,1995,1977
"Aedes aegypti","ECU",2017,"Management_costs","Post-invasion_management","South America","Aedes",95000,NA,1995,1995,1977
"Aedes aegypti","ECU",2015,"Management_costs","Post-invasion_management","South America","Aedes",95000,NA,1995,1995,1977
"Aedes aegypti","ECU",2014,"Management_costs","Post-invasion_management","South America","Aedes",95000,NA,1995,1995,1977
"Aedes aegypti","ECU",1995,"Management_costs","Post-invasion_management","South America","Aedes",1664040.52450236,NA,1995,1995,1977
"Aedes aegypti","ECU",2013,"Management_costs","Post-invasion_management","South America","Aedes",95000,NA,1995,1995,1977
"Aedes aegypti","FRA",2013,"Management_costs","Post-invasion_management","Oceania/Pacific Islands","Aedes",3742077.98137494,NA,2000,2008,1977
"Aedes aegypti","IND",2008,"Management_costs","Post-invasion_management","Asia","Aedes",9931303.76900318,NA,2003,2003,1977
"Aedes aegypti","IND",2007,"Management_costs","Post-invasion_management","Asia","Aedes",9931303.76900318,NA,2003,2003,1977
"Aedes aegypti","IND",2004,"Management_costs","Post-invasion_management","Asia","Aedes",9931303.76900318,NA,2003,2003,1977
"Aedes aegypti","IND",2006,"Management_costs","Post-invasion_management","Asia","Aedes",9931303.76900318,NA,2003,2003,1977
"Aedes aegypti","IND",2005,"Management_costs","Post-invasion_management","Asia","Aedes",9931303.76900318,NA,2003,2003,1977
"Aedes aegypti","IND",2003,"Management_costs","Post-invasion_management","Asia","Aedes",9931303.76900318,NA,2003,2003,1977
"Aedes aegypti","MEX",2012,"Management_costs","Post-invasion_management","North America","Aedes",6085447.05924632,NA,2008,1995,1977
"Aedes aegypti","MEX",2008,"Management_costs","Post-invasion_management","North America","Aedes",148123.144829175,NA,2008,1995,1977
"Aedes aegypti","MEX",2013,"Management_costs","Post-invasion_management","North America","Aedes",290725398.45501,NA,2008,1995,1977
"Aedes aegypti","MYS",2002,"Management_costs","Post-invasion_management","Asia","Aedes",17442839.0085708,NA,2001,2002,1977
"Aedes aegypti","MYS",2013,"Management_costs","Post-invasion_management","Asia","Aedes",88911676.3280793,NA,2001,2002,1977
"Aedes aegypti","NIC",1995,"Management_costs","Post-invasion_management","Central America","Aedes",804286.065842724,NA,1995,1995,1977
"Aedes aegypti","PER",1995,"Management_costs","Post-invasion_management","South America","Aedes",1930286.55802254,NA,1995,1995,1977
"Aedes aegypti","PRY",1995,"Management_costs","Post-invasion_management","South America","Aedes",297585.844361808,NA,1995,1995,1977
"Aedes aegypti","THA",1987,"Management_costs","Post-invasion_management","Asia","Aedes",34516288.9622297,NA,1981,1981,1977
"Aedes aegypti","THA",2007,"Management_costs","Post-invasion_management","Asia","Aedes",94575.7601455567,NA,1981,1981,1977
"Aedes aegypti","THA",1981,"Management_costs","Post-invasion_management","Asia","Aedes",892335.423197497,NA,1981,1981,1977
"Aedes aegypti","THA",2002,"Management_costs","Post-invasion_management","Asia","Aedes",49730872.9505411,NA,1981,1981,1977
"Aedes aegypti","THA",2003,"Management_costs","Post-invasion_management","Asia","Aedes",49730872.9505411,NA,1981,1981,1977
"Aedes aegypti","THA",2013,"Management_costs","Post-invasion_management","Asia","Aedes",61028132.8642438,NA,1981,1981,1977
"Aedes aegypti","THA",2004,"Management_costs","Post-invasion_management","Asia","Aedes",49730872.9505411,NA,1981,1981,1977
"Aedes aegypti","THA",2005,"Management_costs","Post-invasion_management","Asia","Aedes",49730872.9505411,NA,1981,1981,1977
"Aedes aegypti","THA",1994,"Management_costs","Post-invasion_management","Asia","Aedes",8057484.62022829,NA,1981,1981,1977
"Aedes aegypti","THA",2001,"Management_costs","Post-invasion_management","Asia","Aedes",49730872.9505411,NA,1981,1981,1977
"Aedes aegypti","USA",2003,"Management_costs","Post-invasion_management","Central America","Aedes",9106903.28229997,NA,1977,1977,1977
"Aedes aegypti","USA",2017,"Management_costs","Post-invasion_management","Central America","Aedes",195499848.456182,NA,1977,1977,1977
"Aedes aegypti","USA",1977,"Management_costs","Post-invasion_management","Central America","Aedes",4912637.28103949,NA,1977,1977,1977
"Aedes aegypti","USA",2007,"Management_costs","Post-invasion_management","Central America","Aedes",9106903.28229997,NA,1977,1977,1977
"Aedes aegypti","USA",2002,"Management_costs","Post-invasion_management","Central America","Aedes",9106903.28229997,NA,1977,1977,1977
"Aedes aegypti","USA",2005,"Management_costs","Post-invasion_management","Central America","Aedes",9106903.28229997,NA,1977,1977,1977
"Aedes aegypti","USA",2004,"Management_costs","Post-invasion_management","Central America","Aedes",9106903.28229997,NA,1977,1977,1977
"Aedes aegypti","USA",2006,"Management_costs","Post-invasion_management","Central America","Aedes",9106903.28229997,NA,1977,1977,1977
"Aedes aegypti","VNM",2000,"Management_costs","Post-invasion_management","Asia","Aedes",12692.0670115337,NA,1998,1998,1977
"Aedes aegypti","VNM",1999,"Management_costs","Post-invasion_management","Asia","Aedes",12692.0670115337,NA,1998,1998,1977
"Aedes aegypti","VNM",1998,"Management_costs","Post-invasion_management","Asia","Aedes",12692.0670115337,NA,1998,1998,1977
"Aedes albopictus","ESP",2018,"Management_costs","Post-invasion_management","Europe","Aedes",24496.9255222655,2004,2015,2015,1977
"Aedes albopictus","ESP",2015,"Management_costs","Post-invasion_management","Europe","Aedes",575018.88773598,2004,2015,2015,1977
"Aedes albopictus","ESP",2016,"Management_costs","Post-invasion_management","Europe","Aedes",24022.7290440305,2004,2015,2015,1977
"Aedes albopictus","ESP",2017,"Management_costs","Post-invasion_management","Europe","Aedes",24005.725,2004,2015,2015,1977
"Aedes albopictus","FRA",2012,"Management_costs","Post-invasion_management","Africa","Aedes",29946805.2652384,1998,2006,2008,1977
"Aedes albopictus","ITA",2009,"Management_costs","Post-invasion_management","Europe","Aedes",16350285.0676558,1990,2007,2008,1977
"Aedes albopictus","ITA",2008,"Management_costs","Post-invasion_management","Europe","Aedes",20285490.3142666,1990,2007,2008,1977
"Aedes albopictus","ITA",2011,"Management_costs","Post-invasion_management","Europe","Aedes",14928380.6848657,1990,2007,2008,1977
"Aedes albopictus","ITA",2018,"Management_costs","Post-invasion_management","Europe","Aedes",1152796.49516544,1990,2007,2008,1977
"Aedes albopictus","ITA",2010,"Management_costs","Post-invasion_management","Europe","Aedes",15221084.3514616,1990,2007,2008,1977
"Aedes albopictus","USA",2009,"Management_costs","Post-invasion_management","North America","Aedes",305524.339903352,NA,2001,1977,1977
"Aedes albopictus","USA",2008,"Management_costs","Post-invasion_management","North America","Aedes",2971456.96171667,NA,2001,1977,1977
"Aedes albopictus","USA",2010,"Management_costs","Post-invasion_management","North America","Aedes",305524.339903352,NA,2001,1977,1977
"Aedes albopictus","USA",2011,"Management_costs","Post-invasion_management","North America","Aedes",305524.339903352,NA,2001,1977,1977
"Aedes albopictus","USA",2001,"Management_costs","Post-invasion_management","North America","Aedes",1622785.33978915,NA,2001,1977,1977
"Agave americana","ESP",2013,"Management_costs","Post-invasion_management","Europe","Agave",18441.9737700437,NA,2009,1999,1997
"Agave americana","ESP",2015,"Management_costs","Post-invasion_management","Europe","Agave",17618.5867640529,NA,2009,1999,1997
"Agave americana","ESP",2009,"Management_costs","Post-invasion_management","Europe","Agave",4691.59027604049,NA,2009,1999,1997
"Agave americana","ESP",2012,"Management_costs","Post-invasion_management","Europe","Agave",7625.16297918851,NA,2009,1999,1997
"Agave americana","ESP",2018,"Management_costs","Post-invasion_management","Europe","Agave",6712.5034320493,NA,2009,1999,1997
"Agave americana","ESP",2011,"Management_costs","Post-invasion_management","Europe","Agave",13957.7898536678,NA,2009,1999,1997
"Agave americana","ESP",2017,"Management_costs","Post-invasion_management","Europe","Agave",5646.5983924706,NA,2009,1999,1997
"Agave americana","ESP",2014,"Management_costs","Post-invasion_management","Europe","Agave",8986.60905930941,NA,2009,1999,1997
"Agave americana","ESP",2016,"Management_costs","Post-invasion_management","Europe","Agave",2558.32455227307,NA,2009,1999,1997
"Agave americana","ESP",2010,"Management_costs","Post-invasion_management","Europe","Agave",5668.34818308325,NA,2009,1999,1997
"Agave americana","FRA",2011,"Management_costs","Post-invasion_management","Europe","Agave",11376.2588571199,1599,2011,2011,1997
"Agave americana","ZAF",2001,"Management_costs","Post-invasion_management","Africa","Agave",2846.66572266036,1858,1997,1997,1997
"Agave americana","ZAF",2000,"Management_costs","Post-invasion_management","Africa","Agave",2846.66572266036,1858,1997,1997,1997
"Agave americana","ZAF",2002,"Management_costs","Post-invasion_management","Africa","Agave",2846.66572266036,1858,1997,1997,1997
"Agave americana","ZAF",1997,"Management_costs","Post-invasion_management","Africa","Agave",2846.66572266036,1858,1997,1997,1997
"Agave americana","ZAF",2013,"Management_costs","Post-invasion_management","Africa","Agave",2846.66572266036,1858,1997,1997,1997
"Agave americana","ZAF",2007,"Management_costs","Post-invasion_management","Africa","Agave",2846.66572266036,1858,1997,1997,1997
"Agave americana","ZAF",1998,"Management_costs","Post-invasion_management","Africa","Agave",2846.66572266036,1858,1997,1997,1997
"Agave americana","ZAF",2014,"Management_costs","Post-invasion_management","Africa","Agave",2846.66572266036,1858,1997,1997,1997
"Agave americana","ZAF",2004,"Management_costs","Post-invasion_management","Africa","Agave",2846.66572266036,1858,1997,1997,1997
"Agave americana","ZAF",2005,"Management_costs","Post-invasion_management","Africa","Agave",2846.66572266036,1858,1997,1997,1997
"Agave americana","ZAF",2010,"Management_costs","Post-invasion_management","Africa","Agave",2846.66572266036,1858,1997,1997,1997
"Agave americana","ZAF",2009,"Management_costs","Post-invasion_management","Africa","Agave",2846.66572266036,1858,1997,1997,1997
"Agave americana","ZAF",2016,"Management_costs","Post-invasion_management","Africa","Agave",2846.66572266036,1858,1997,1997,1997
"Agave americana","ZAF",2011,"Management_costs","Post-invasion_management","Africa","Agave",2846.66572266036,1858,1997,1997,1997
"Agave americana","ZAF",1999,"Management_costs","Post-invasion_management","Africa","Agave",2846.66572266036,1858,1997,1997,1997
"Agave americana","ZAF",2006,"Management_costs","Post-invasion_management","Africa","Agave",2846.66572266036,1858,1997,1997,1997
"Agave americana","ZAF",2003,"Management_costs","Post-invasion_management","Africa","Agave",2846.66572266036,1858,1997,1997,1997
"Agave americana","ZAF",2015,"Management_costs","Post-invasion_management","Africa","Agave",2846.66572266036,1858,1997,1997,1997
"Agave americana","ZAF",2008,"Management_costs","Post-invasion_management","Africa","Agave",2846.66572266036,1858,1997,1997,1997
"Agave americana","ZAF",2012,"Management_costs","Post-invasion_management","Africa","Agave",2846.66572266036,1858,1997,1997,1997
"Agave sisalana","ESP",2017,"Management_costs","Post-invasion_management","Europe","Agave",173.519028705883,1940,2013,1999,1997
"Agave sisalana","ESP",2015,"Management_costs","Post-invasion_management","Europe","Agave",176.247141060664,1940,2013,1999,1997
"Agave sisalana","ESP",2013,"Management_costs","Post-invasion_management","Europe","Agave",71.5498497382877,1940,2013,1999,1997
"Agave sisalana","ESP",2016,"Management_costs","Post-invasion_management","Europe","Agave",1041.85162762252,1940,2013,1999,1997
"Agave sisalana","ZAF",2004,"Management_costs","Post-invasion_management","Africa","Agave",28188.933741466,1929,1997,1997,1997
"Agave sisalana","ZAF",2005,"Management_costs","Post-invasion_management","Africa","Agave",28188.933741466,1929,1997,1997,1997
"Agave sisalana","ZAF",1998,"Management_costs","Post-invasion_management","Africa","Agave",28188.933741466,1929,1997,1997,1997
"Agave sisalana","ZAF",1997,"Management_costs","Post-invasion_management","Africa","Agave",28188.933741466,1929,1997,1997,1997
"Agave sisalana","ZAF",2014,"Management_costs","Post-invasion_management","Africa","Agave",28188.933741466,1929,1997,1997,1997
